nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora
Jornada de Inclusión Educativa;Jornada;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Educación;2025-04-16;2025-04-16;Virtual;Corporativo;Subsecretaría de Educación
Jornada de Investigación Jurídica;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Único;Jurídico;2025-10-28;2025-10-30;Aula H - Facultad de Derecho (28 Octubre), Aula Magna - Facultad de Derecho UNCuyo (29 y 30 Octubre);Acadmico;Facultad de Derecho de la Universidad Nacional de Cuyo
2025 UM Arbitration Day;Jornada;Congresos y Convenciones;Nacional;Único;Arbitraje Internacional;2025-04-23;2025-01-01;Universidad de Mendoza;Académico;Universidad de Mendoza
Primera Jornada Regional de Matemática de Nivel Secundario;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Único;Matemática;2025-04-26;2025-04-26;Ciudad de Mendoza, Las Heras, Rivadavia, Tunuyán, San Rafael y Malargüe;Académico;Gobierno de Mendoza
Primeras jornadas de Matemática de nivel secundario;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Único;Matemática;2025-04-09;2025-04-09;Mendoza;Gubernamental;Mendoza.edu.ar
XVI Jornadas Interdisciplinarias de Estudios sobre las Mujeres y XIV Jornadas Internacionales de Estudios sobre la Mujer Medieval;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Historia de las mujeres, de género, masculinidades y temas y problemáticas afines;2025-05-13;2025-05-16;FFyL de la UNCUYO;Académico;CIEM
Maker Day 2025;Conferencia;CONGRESOS Y CONVENCIONES;Nacional;Único;Ciencia, Tecnología, Arte y Innovación;2025-04-23;2025-04-23;Centro de Congresos Alfredo Bufano;Gubernamental;Ministerio de Producción
Jornadas Nacionales de Educación Especial;Congreso;Congresos y Convenciones;Nacional;Unico;Educación especial y inclusión;2025-09-25;2025-09-26;Facultad de Educación de la UNCuyo;Académico;Facultad de Educación de la UNCuyo
Maker Day;Encuentro;Desconocida;Desconocido;Único;Desconocido;2025-04-22;2025-04-23;Ciudad de Mendoza;Asociativo;Ministerio de Producción
Primera Jornada Regional de Matemática para Nivel Secundario;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Mendoza);Único;Matemática;2025-04-26;2025-04-26;Varias sedes en la provincia de Mendoza;Gubernamental;Gobierno de Mendoza
Formación en Minería 2025;Congreso y Simposio;Congreso y Convención;Nacional - Regional (Patagonia);Único;Minería;2025-05-01;2025-01-01;Mendoza, Argentina;Académico;Dirección General de Escuelas
Jornadas de las Mujeres;Jornada;Congresos y Convenciones;Nacional;Único;Celebrando sororidades: espacios de experiencias y horizontes de expectativas;2025-05-13;2025-05-16;Facultad de Filosofía y Letras de la UNCUYO;Académico;Centro Interdisciplinario de Estudios de las Mujeres (CIEM)
Vinexpo Explorer Mendoza 2025;Exposición;Desconocida;Desconocido;Irregular;Desconocido;2025-10-06;2025-10-09;Godoy Cruz, Mendoza;Comercial;Desconocida
Jornada de Economía del Conocimiento: Una Mirada Hacia el Futuro;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Único;Economía del Conocimiento;2025-04-24;2025-04-24;Cumbrar;Académico;Secretaría de Innovación, Ciencia y Tecnología
Semana de la Investigación 2025;Jornada;Congreso y Convención;Provacional;Único;Investigación;2025-04-07;2025-04-09;Universidad Nacional de Córdoba;Académico;Facultad de Filosofía y Letras
3er Encuentro – Fortalecimiento de Trayectorias;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Educación;2025-04-15;2025-04-15;No especificada;Corporativo;mendoza.edu.ar
Segundo Encuentro Formativo;Encuentro;Congresos y convenciones;Nacional - Regional;Único;Educación;2025-04-03;2025-04-03;Desconocida;Asociativo;mendoza.edu.ar
Cuarto Encuentro de Formación;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (NOA);Único;Educación;2025-04-28;2025-04-28;Mendoza;Corporativo;Mendoza.edu.ar
Seminario Internacional de Cerezas Frescas Tempranas;Seminario;CONGRESOS Y CONVENCIONES;Internacional;Único;Cerezas frescas tempranas;2025-03-01;2025-04-04;Mendoza;Asociativo;Cámara de Cerezas de Mendoza, Ministerio de Producción, Municipalidad de la Ciudad de Mendoza
Congreso Internacional de Emprendedorismo;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Único;Emprendedorismo;2025-04-14;2025-04-16;Mendoza;Corporativo;Universidad Juan Agustín Maza
Calendario de encuentros de los Programas de Abril;Encuentro;Congresos y Convenciones;Nacional;Único;Educación;2025-04-01;2025-04-30;Dirección de Educación Primaria;Académico;Educación de la Provincia de Mendoza
Calendario de encuentros de mayo de Programas de la Dirección de Primaria;Congreso;CONGRESOS Y CONVENCIONES;Nacional;Anual;Educación;2025-05-02;2025-05-31;Mendoza;Académico;Dirección de Primaria
Mendocann;Feria;Desconocida;Nacional;Bienal;Cannabis medicinal e industrial;2025-05-05;2025-05-06;Godoy Cruz;Corporativo;Municipio de Godoy Cruz
Segundo Encuentro de Formación Programa Líderes de Asistencia;Encuentro;Congresos y Convenciones;Nacional - Regional (Centro);Único;Educación;2025-01-01;2025-04-23;Mendoza;Gubernamental;Educación
Congreso Internacional sobre Regionalización, Gobernanza y Desarrollo;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Litoral);Único;Regionalización y desarrollo territorial;2025-04-29;2025-04-17;Mendoza;Académico;Gobierno de Mendoza
Testing Day Argentina 2025;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Tecnología;2025-04-11;2025-04-11;Universidad de Mendoza;Corporativo;Universidad de Mendoza
TSX CPC Roadshow Mendoza 2025;Conferencia;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Anual;Minería;2025-04-02;2025-04-04;Mendoza;Gubernamental;Gobierno de Mendoza
3er Encuentro Formativo 2025;Encuentro;Congresos y Convenciones;Local;Anual;Educación;2025-05-08;2025-05-08;Mendoza, Argentina;Académico;Institución educativa
Encuentro del Consejo Provincial del Ambiente;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Ambiente;2025-04-14;2025-04-14;Mendoza;Asociativo;Consejo Provincial del Ambiente
XXI Competencias Interuniversitarias;Encuentro;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Anual;Deporte y ocio;2025-04-22;2025-04-30;Universidades participantes en la provincia de Mendoza;Corporativo;Universidades y Gobierno de Mendoza
Hackathon de innovación y tecnología UNCUYO 2025;Hackathon;Congreso y Convención;Nacional - Regional (NOA);Único;Innovación y tecnología;2025-05-16;2025-05-16;Área de Innovación UNCUYO;Académico;Secretaría de Investigación, Internacionales y Posgrado y la Incubadora UNCUYO
Grupo de Lectura Psicoanalítico 2025;Encuentro;Congresos y Convenciones;Local;Irregular;Psicoanálisis;2025-04-14;2025-12-31;Unidad de Congreso Mendoza;Académico;Universidad de Congreso
I Congreso Internacional de Emprendedurismo: Formación, Investigación y Desarrollo;Congreso;Congresos y Convenciones;Nacional - Regional (Mendoza);Único;Emprendedurismo;2025-04-14;2025-04-16;Universidad Juan Agustín Maza - Mendoza, Argentina;Académico;Universidad Juan Agustín Maza
