nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
Jornada Remunerada Educación Financiera 2025;Jornada;CONGRESOS Y CONVENCIONES;Desconocido;Único;Educación Financiera;2025-01-01;2025-08-19;Universidad de Mendoza (UM);Desconocida;Dirección de Educación Secundaria,  Coordinación de Educación Técnica y Trabajo, Dirección de Educación Permanente de Jóvenes y Adultos, Dirección de Educación Privada;https://www.mendoza.edu.ar/memorandum-188-sub-educacion-jornada-remunerada-educacion-financiera-2025/
Jornada de Alfabetización Avanzada 2025;Jornada;CONGRESOS Y CONVENCIONES;Local;Anual;Educación;2025-01-01;2025-08-18;Mendoza TIC Parque Tecnológico;Asociativo;mendoza.edu.ar;https://www.mendoza.edu.ar/memorandum-142-dir-planificacion-convocatoria-jornada-de-alfabetizacion-avanzada-2025/
Cuarta Jornadas regionales remuneradas- Mendoza Mejora Aprendiendo Matemática;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Único;Aprendiendo Matemática;2025-01-01;2025-01-01;Universidad de Mendoza (UM);Académico;mendoza.edu.ar;https://www.mendoza.edu.ar/memorandum-139-planificacion-convocatoria-a-cuarta-jornadas-regionales-remuneradas-mendoza-mejora-aprendiendo-matematica-2025/
Derecho a la Salud y Justicia;Jornada;Congresos y Convenciones;Local;Único;Derecho a la Salud;2025-08-27;2025-08-27;Poder Judicial;Académico;Facultad de Ciencias Médicas de la UNCUYO;https://fcm.uncuyo.edu.ar/celebran-la-jornada-derecho-a-la-salud-y-justicia-en-mendoza
I Jornadas Cuyanas de Costos y Control de Gestión;Jornada;Congresos y Convenciones;Nacional - Regional (Cuyo);Único;Gestión y control de costos;2025-08-22;2025-08-23;Universidad de Mendoza (UM) - Facultad de Ciencias de la Salud;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/mendoza-sera-sede-de-las-i-jornadas-cuyanas-de-costos-y-control-de-gestion/
Jornadas Federales de IA Aplicada al Derecho 2025;Jornada;CONGRESOS Y CONVENCIONES;De forma virtual, único;Único;Inteligencia Artificial y Práctica Jurídica;2025-08-19;2025-08-20;Virtual;Asociativo;Colegio de Abogados y Procuradores de Mendoza;https://colabogmza.com.ar/eventos/jornadas-federales-de-ia-aplicada-al-derecho-2025/
Terceras Jornadas Regionales de Matemática;Jornada; Congresos y Convenciones;Regional;Irregular;Matemática, Probabilidad, Estadística, Inteligencia Artificial;2025-08-02;2025-12-31;Universidad Nacional de Cuyo (UNCUYO);Académico;Mendoza;https://www.mendoza.edu.ar/terceras-jornadas-regionales-de-matematica-para-nivel-secundario/
Congreso de Salud Mental 2025;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Único;Constructos, clínicas, diagnósticos y abordajes terapéuticos;2025-10-17;9999-12-31;Hilton Mendoza;Gubernamental;Ministerio de Salud y Deportes;https://www.mendoza.gov.ar/prensa/congreso-de-salud-mental-2025-se-extiende-la-convocatoria-para-la-presentacion-de-trabajos/
Jornadas de Investigación en Derecho;Jornada;Congresos y Convenciones;Local;Único;Derecho;2025-08-27;2025-08-29;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Ciencias Jurídicas y Sociales;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/jornadas-de-investigacion-en-derecho-8va-edicion/
Jornadas de Capacitación Vial;Jornada;Congresos y convenciones;Nacional - Regional (Patagonia);Unico;Diseño estructural de pavimentos flexibles e impacto ambiental en proyectos viales;2025-08-28;2025-08-29;Universidad de Mendoza (UM);Corporativo;Asociación Argentina de Carreteras;https://www.mendoza.gov.ar/prensa/expertos-de-la-asociacion-argentina-de-carreteras-capacitaran-sobre-diseno-de-asfaltos-e-impacto-ambiental-en-mendoza/
Jornada de Desarrollo Productivo y Liderazgo;Encuentro;Congresos y Convenciones;Regional;Irregular;Desarrollo Económico y Femenino;2025-08-22;2025-08-22;Espacio Arizu;Corporativo;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mas-de-400-mujeres-participaron-de-la-jornada-de-desarrollo-productivo-y-liderazgo-en-el-gran-mendoza/
