nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
Segunda Jornada Regional Remunerada Plan Provincial MMAM;Jornada;Desconocida;NS/NC;Único;Educación;2024-01-01;2025-01-01;Universidad Nacional de Cuyo (UNCUYO);Gubernamental;Universidad Nacional de Cuyo;https://www.mendoza.edu.ar/memorandum-90-inicial-segunda-jornada-regional-remunerada-plan-provincial-mmam-2025/
JORNADA DE SEGUROS A+C MENDOZA 2025;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Seguros;2025-09-24;2025-09-24;Universidad de Mendoza (UM);Corporativo;Grupo Sol Comunicaciones;https://www.eventbrite.com.ar/e/jornada-de-seguros-ac-mendoza-2025-tickets-1610259823479
4º Jornadas Regionales de Matemática Nivel Primario;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Único;Matemática;2025-01-01;2025-07-14;Universidad Nacional de Cuyo (UNCUYO);Académico;Universidad Nacional de Cuyo;https://www.mendoza.edu.ar/memorandum-171-sub-planificacion-4-jornadas-regionales-de-matematica-nivel-primario-eje-estadistica-y-probabilidad-2025/
II Jornadas Odontológicas Universitarias;Jornada;Congresos y Convenciones;Nacional - Regional (NOA);Único;Medicina;2025-09-18;2025-09-19;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/la-universidad-de-mendoza-sera-sede-de-las-ii-jornadas-odontologicas-universitarias-del-crup/
Jornadas de Investigación en Salud 2025;Jornada;CONGRESOS Y CONVENCIONES;Local;Unico;Colaboración y multidisciplinariedad en la Universidad de Mendoza;2025-09-04;2025-09-05;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/jornadas-de-investigacion-en-salud-2025-colaboracion-y-multidisciplinariedad-en-la-universidad-de-mendoza/
Expo Apícola 2025;Exposición;FERIAS Y EXPOSICIONES;¿Nacional - Regional (Patagonia), Nacional - Regional (NOA), Nacional - Regional (Litoral), Nacional - Regional (Centro), Nacional - Regional (Cuyo), Nacional, Internacional - Iberoamérica, Internacional - Panamérica, Internacional - Latinoamérica, Internacional - Sudamérica, Internacional - Mercosur, Internacional, Único, NS/NC.;Único;Apicultura;2025-09-05;2025-09-06;Centro de Educación e Investigación Lavalle;Desconocida;Prensa Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/lavalle-sera-sede-de-la-28-edicion-de-la-expo-apicola-2025/
Primera Jornada de Transición Energética;Congreso;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Único;Transición energética;2025-10-01;2025-10-01;Universidad de Mendoza (UM);Corporativo;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/A6129_primera-jornada-de-transicion-energetica-en-la-uncuyo
Jornadas de Investigación en Salud 2025;Jornada;Congresos y Convenciones;Local;Único;Salud;2025-09-04;2025-09-05;Univesidad de Mendoza;Académico;Universidad de Mendoza;https://um.edu.ar/noticias/jornadas-de-investigacion-en-salud-y-medicina-um-abre-sus-puertas-al-intercambio-academico/
Jornada de fortalecimiento institucional y profesional;Jornada;Congresos y Convenciones;Nacional - Regional (Patagonia);Único;Ética Profesional;2025-09-10;2025-09-10;Centro de Congresos y Exposiciones de San Rafael;Corporativo;Consejo Profesional de Ciencias Económicas de Mendoza;https://cpcemza.org.ar/A6132_el-tribunal-de-etica-del-cpce-mendoza-visito-san-rafael-en-una-jornada-de-fortalecimiento-institucional-y-profesional
Geografía y formación ciudadana. Temas, problemas y debates sobre el futuro de la organización territorial de Mendoza;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Centro);Anual;Geografía y formación ciudadana;2025-01-21;2025-01-14;Universidad Nacional de Cuyo (UNCUYO) - Facultad de Filosofía y Letras;Académico;Instituto de Geografía, Proyectos SIIP;https://ffyl.uncuyo.edu.ar/cursos/item/geografia-y-formacion-ciudadana-temas-problemas-y-debates-sobre-el-futuro-de-la-organizacion-territorial-de-mendoza
