nombre;tipo;agrupacion;detalle_tipo_rotacion;frecuencia;tema;fecha_inicio;fecha_fin;sede;categoria;entidad_organizadora;link
IV Jornadas de Aracnología Mendoza 2025;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Irregular;Aracnología;2025-10-29;2025-10-31;Padre Jorge Contreras 1300, Parque General San Martín, Mendoza;Académico;Facultad de Ciencias Exactas y Naturales de la Universidad Nacional de Cuyo;https://fcen.uncuyo.edu.ar/iv-jornadas-de-aracnologia-mendoza-2025-un-encuentro-para-profundizar-en-el-estudio-de-los-aracnidos
Segundas jornadas regionales remuneradas Matemática – Secundario – Mendoza Mejora Aprendiendo Matemática;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Matemática;2025-05-09;2025-05-09;Mendoza;Académico;Subsecretaría de Educación;https://www.mendoza.edu.ar/memorandum-88-dir-planeamiento-inscripciones-a-las-segundas-jornadas-regionales-remuneradas-de-matematica-nivel-secundario-plan-provincial-mendoza-mejora-aprendiendo-matematica-2025/
Jornadas de Docencia Universitaria. 30 años de la Especialización en Docencia Universitaria. Universidad Nacional de Cuyo;Jornada;CONGRESOS Y CONVENCIONES;Local;Único;Educación;2025-09-10;2025-09-12;Facultad de Filosofía y Letras de la Universidad Nacional de Cuyo;Académico;Facultad de Filosofía y Letras de la Universidad Nacional de Cuyo;https://ffyl.uncuyo.edu.ar/cursos/item/jornadas-de-docencia-universitaria-30-anos-de-la-especializacion-en-docencia-universitaria-universidad-nacional-de-cuyo
2° Jornada Regional de Matemática Nivel Secundario;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Irregular;Matemática;2025-05-24;2025-05-24;Capital, Las Heras, San Martín, Tunuyán, San Rafael y Malargüe;Académico;Dirección de Educación Secundaria;https://www.mendoza.edu.ar/inscripcion-abierta-2-jornada-regional-de-matematica-nivel-secundario/
Conmemoración del 25 de Mayo;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Anual;Cultura;2025-05-25;2025-05-25;Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/con-distintas-actividades-mendoza-conmemora-un-nuevo-aniversario-del-25-de-mayo/
XXXII Jornadas Nacionales RUEDES y XXVI Jornadas Nacionales RECCEE;Jornada;CONGRESOS Y CONVENCIONES;Nacional;Anual;Educación;2024-09-25;2024-09-26;Facultad de Educación de la UNCuyo;Académico;Red Universitaria de Educación Especial (RUEDES) y Red de Estudiantes de Cátedras y Carreras de Educación Especial (RECCEE);https://educacion.uncuyo.edu.ar/xxxii-jornadas-nacionales-ruedes-y-xxvi-jornadas-nacionales-reccee
Jornada de capacitacion en matematica;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Cuyo);Irregular;Matemática;2025-05-31;2025-05-31;Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mas-de-3-200-docentes-de-primaria-se-forman-en-matematica/
Jornada Interdisciplinaria de Seguridad Vial;Jornada;CONGRESOS Y CONVENCIONES;Único;Único;Seguridad;2025-06-24;2025-06-25;Nave Cultural, Juan Agustín Maza 250, Mendoza;Académico;Colegio de Abogados y Procuradores;https://colabogmza.com.ar/invitan-a-jornada-interdisciplinaria-de-seguridad-vial/
IV Jornadas Integrales de Campos Convencionales;Jornada;CONGRESOS Y CONVENCIONES;Nacional - Regional (Patagonia);Anual;Energía;2025-05-20;2025-05-21;Cipolletti, Río Negro;Académico;Instituto Argentino del Petróleo y Gas (IAPG) Seccional Comahue;https://www.mendoza.gov.ar/prensa/erio-el-sector-convencional-sigue-siendo-un-pilar-fundamental-de-la-industria-petrolera/
IA y tecnología en Mendoza;Encuentro;CONGRESOS Y CONVENCIONES;Local;Único;Tecnología;2025-05-10;2025-05-10;Nave Cultural, Ciudad de Mendoza;Gubernamental;Gobierno de Mendoza;https://www.mendoza.gov.ar/prensa/mendoza-se-posiciona-como-polo-de-innovacion-tecnologica-con-un-gran-evento-sobre-ia/
