kind;title;htmlTitle;link;displayLink;snippet;htmlSnippet;formattedUrl;htmlFormattedUrl;pagemap;mime;fileFormat
customsearch#result;Memorándum 66-Sub. Educación. Convocatoria a reunión virtual ...;Memorándum 66-Sub. Educación. Convocatoria a reunión virtual ...;https://www.mendoza.edu.ar/memorandum-66-subsecretaria-de-educacion-convocatoria-a-reunion-virtual-jornada-de-inclusion-educativa-2025/;www.mendoza.edu.ar;16 abr 2025 ... Boletín oficial de Mendoza · Normativa de Argentina · Leyes ... Convocatoria a reunión virtual Jornada de Inclusión Educativa (2025) ...;"16 abr 2025 <b>...</b> Boletín oficial de <b>Mendoza</b> &middot; Normativa de Argentina &middot; Leyes ... Convocatoria a reunión virtual <b>Jornada</b> de Inclusión Educativa (<b>2025</b>)&nbsp;...";https://www.mendoza.edu.ar/memorandum-66-subsecretaria-de-educacion-...;https://www.<b>mendoza</b>.edu.ar/memorandum-66-subsecretaria-de-educacion-...;{'metatags': [{'og:image': 'https://www.mendoza.edu.ar/wp-content/uploads/2024/10/normativa-e1755614909181.jpg', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Memorándum 66-Sub. Educación. Convocatoria a reunión virtual Jornada de Inclusión Educativa (2025)', 'og:url': 'https://www.mendoza.edu.ar/memorandum-66-subsecretaria-de-educacion-convocatoria-a-reunion-virtual-jornada-de-inclusion-educativa-2025/', 'og:description': 'La Subsecretaría de Educación convoca a los equipos de supervisión y equipos directivos a la reunión virtual sobre acuerdos derivados de la Jornada de Inclusión Educativa para los departamentos de San Rafael, General Alvear y Malargüe. Dirigido a: Inicial, Primaria, Secundaria, Técnica y Trabajo, Educación Especial.', 'dlm-version': '5.1.5'}]};;
customsearch#result;Memorándum 80-Dir. Planificación. Convocatoria a Trayecto ...;Memorándum 80-Dir. Planificación. Convocatoria a Trayecto ...;https://www.mendoza.edu.ar/memorandum-80-dir-planificacion-convocatoria-a-trayecto-formativo-docente-2025-1-jornadas-regionales-de-matematica/;www.mendoza.edu.ar;... Mendoza mejora aprendiendo matemática Dirigido a: Dirección ... Convocatoria a Trayecto Formativo Docente 2025 1° Jornadas Regionales de Matemática (2025) ...;"... <b>Mendoza</b> mejora aprendiendo matemática Dirigido a: Dirección ... Convocatoria a Trayecto Formativo Docente <b>2025</b> 1° <b>Jornadas</b> Regionales de Matemática (<b>2025</b>)&nbsp;...";https://www.mendoza.edu.ar/memorandum-80-dir-planificacion-convocato...;https://www.<b>mendoza</b>.edu.ar/memorandum-80-dir-planificacion-convocato...;{'metatags': [{'og:image': 'https://www.mendoza.edu.ar/wp-content/uploads/2024/10/normativa-e1755614909181.jpg', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Memorándum 80-Dir. Planificación. Convocatoria a Trayecto Formativo Docente 2025 1° Jornadas Regionales de Matemática (2025)', 'og:url': 'https://www.mendoza.edu.ar/memorandum-80-dir-planificacion-convocatoria-a-trayecto-formativo-docente-2025-1-jornadas-regionales-de-matematica/', 'og:description': 'Convocatoria a Trayecto Formativo Docente 2025 “1° Jornadas Regionales de Matemática Nivel Secundario, Eje numeración, en el marco del Plan Provincial Mendoza mejora aprendiendo matemática Dirigido a: Dirección de Educación Especial, Dirección de Educación Secundaria Orientada, Coordinación de Educación Técnica, Dirección de Educación Privada', 'dlm-version': '5.1.6'}]};;
customsearch#result;MENDOZA, 28 de Abril de 2025.- VISTO: El Expediente Nº 10723 ...;<b>MENDOZA</b>, 28 de Abril de <b>2025</b>.- VISTO: El Expediente Nº 10723 ...;https://derecho.uncuyo.edu.ar/investigacionjuridica/upload/3e6c22f67d494a9e3ec97e4e15540fcf.pdf;derecho.uncuyo.edu.ar;"15 abr 2025 ... MENDOZA, 28 de Abril de 2025.-. VISTO: El Expediente Nº 10723/2025, S/ Jornada de Investigación Jurídica -. Ciencia y Técnica; y. CONSIDERANDO ...";"15 abr 2025 <b>...</b> <b>MENDOZA</b>, 28 de Abril de <b>2025</b>.-. VISTO: El Expediente Nº 10723/<b>2025</b>, S/ <b>Jornada</b> de Investigación Jurídica -. Ciencia y Técnica; y. CONSIDERANDO&nbsp;...";https://derecho.uncuyo.edu.ar/.../3e6c22f67d494a9e3ec97e4e15540fcf.pdf;https://derecho.uncuyo.edu.ar/.../3e6c22f67d494a9e3ec97e4e15540fcf.pdf;"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTiS1CFPsdO95M3Q_m1sanUgH4RrEXmWLCrvhGzUG8ne3BxWNAbkkyrLQ&s', 'width': '331', 'height': '152'}], 'metatags': [{'moddate': ""D:20250429152418-03'00'"", 'creator': 'Microsoft® Word 2016', 'creationdate': ""D:20250429152418-03'00'"", 'author': 'Beatriz Della Savia', 'producer': 'Microsoft® Word 2016', 'title': 'Untitled'}], 'cse_image': [{'src': 'x-raw-image:///fed40c0b0dc269447b4e2f2613b0f6365f6944cff11987a3f7fe9e3d2ffeb45b'}]}";application/pdf;PDF/Adobe Acrobat
customsearch#result;Egresados de la escuela Pérez Esquivel participan de la primera ...;Egresados de la escuela Pérez Esquivel participan de la primera ...;https://www.mendoza.edu.ar/egresados-de-la-escuela-perez-esquivel-participan-de-la-primera-jornada-del-ciclo-de-conversatorios-2025/;www.mendoza.edu.ar;23 abr 2025 ... Egresados de la escuela Pérez Esquivel participan de la primera jornada del ciclo de Conversatorios 2025 · Más noticias de escuelas.;"23 abr 2025 <b>...</b> Egresados de la escuela Pérez Esquivel participan de la primera <b>jornada</b> del ciclo de Conversatorios <b>2025</b> &middot; Más noticias de escuelas.";https://www.mendoza.edu.ar/egresados-de-la-escuela-perez-esquivel-partici...;https://www.<b>mendoza</b>.edu.ar/egresados-de-la-escuela-perez-esquivel-partici...;{'metatags': [{'og:image': 'https://www.mendoza.edu.ar/wp-content/uploads/2025/04/egresados-de-la-escuela-perez-esquivel_ciclo-de-conversatorio-2.jpeg', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Egresados de la escuela Pérez Esquivel participan de la primera jornada del ciclo de Conversatorios 2025', 'og:url': 'https://www.mendoza.edu.ar/egresados-de-la-escuela-perez-esquivel-participan-de-la-primera-jornada-del-ciclo-de-conversatorios-2025/', 'og:description': 'En el marco del proyecto “Ser Parte”, que fortalece el sentido de pertenencia, la comunidad educativa dio inicio al ciclo de conversatorios a cargo de egresados, una herramienta pedagógica que promueve el diálogo, el pensamiento crítico, la comunicación eficaz de su trayectoria escolar e influencia en la vida, una estrategia de motivación para los estudiantes. […]', 'dlm-version': '5.1.6'}]};;
customsearch#result;Investigación Jurídica - Mendoza;Investigación Jurídica - <b>Mendoza</b>;https://derecho.uncuyo.edu.ar/investigacionjuridica/;derecho.uncuyo.edu.ar;La Jornada de Investigación Jurídica fue aprobada por Resolución Nº 181/2025 del Consejo Directivo de la Facultad de Derecho. Esta iniciativa institucional ...;"La <b>Jornada</b> de Investigación Jurídica fue aprobada por Resolución Nº 181/<b>2025</b> del Consejo Directivo de la Facultad de Derecho. Esta iniciativa institucional&nbsp;...";https://derecho.uncuyo.edu.ar/investigacionjuridica/;https://derecho.uncuyo.edu.ar/investigacionjuridica/;{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnsFyTPU_8m5kRa2ZEdrxrbViCNrhKg2iwzkBzs32XPE62NxNPVngUhcY&s', 'width': '318', 'height': '159'}], 'metatags': [{'msapplication-tilecolor': '#263238', 'og:type': 'website', 'twitter:card': 'summary_large_image', 'twitter:title': 'Investigación Jurídica', 'theme-color': '#263238', 'og:site_name': 'Investigación Jurídica', 'author': 'Investigación Jurídica', 'og:title': 'Investigación Jurídica', 'msapplication-tileimage': 'https://prueba.uncuyo.edu.ar/modular_4/mstile-144x144.png', 'og:description': 'Universidad Nacional de Cuyo, carreras, estudios e investigación.', 'twitter:creator': 'Investigación Jurídica', 'fb:app_id': '220667188060569', 'twitter:site': 'Investigación Jurídica', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': 'Universidad Nacional de Cuyo, carreras, estudios e investigación.', 'og:url': 'https://derecho.uncuyo.edu.ar/investigacionjuridica/'}], 'cse_image': [{'src': 'https://derecho.uncuyo.edu.ar/investigacionjuridica/cache/e9185a3bcc138d056806cacf6bc22b2a_1200_720.jpg'}]};;
customsearch#result;Realizarán la jornada 2025 UM Arbitration Day “Argentina en el ...;Realizarán la <b>jornada 2025</b> UM Arbitration Day “Argentina en el ...;https://colabogmza.com.ar/realizaran-la-jornada-2025-um-arbitration-day-argentina-en-el-banquillo-perspectivas-desde-el-estado-el-inversor-y-el-derecho-comparado/;colabogmza.com.ar;16 abr 2025 ... La actividad es coordinada por los profesores de la FCJS de la Universidad de Mendoza María Gabriela Ábalos y Alejandro Barraza. El evento está ...;"16 abr 2025 <b>...</b> La actividad es coordinada por los profesores de la FCJS de la Universidad de <b>Mendoza</b> María Gabriela Ábalos y Alejandro Barraza. El evento está&nbsp;...";https://colabogmza.com.ar/realizaran-la-jornada-2025-um-arbitration-day-a...;https://colabogmza.com.ar/realizaran-la-<b>jornada</b>-<b>2025</b>-um-arbitration-day-a...;{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLDjQH6__M8k_wcV1lQAKl3oajqjJm7r4fd5RIjoZ9ION14FlOTcgppIA&s', 'width': '201', 'height': '251'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'msapplication-tileimage': 'https://colabogmza.com.ar/wp-content/uploads/2023/04/FAV-icon.png'}], 'cse_image': [{'src': 'https://colabogmza.com.ar/wp-content/uploads/2025/04/WhatsApp-Image-2025-04-16-at-5.56.00-PM-819x1024.jpeg'}], 'blog': [{'datepublished': 'abril 16, 2025'}]};;
customsearch#result;Llega la Primera Jornada Regional de Matemática de Nivel ...;Llega la Primera <b>Jornada</b> Regional de Matemática de Nivel ...;https://www.mendoza.gov.ar/prensa/llega-la-primera-jornada-regional-de-matematica-de-nivel-secundario/;www.mendoza.gov.ar;9 DE ABRIL, 2025. La actividad se realizará en el marco de las acciones del Plan Provincial Mendoza Mejora Aprendiendo Matemática, y, en esta ocasión, ...;"9 DE ABRIL, <b>2025</b>. La actividad se realizará en el marco de las acciones del Plan Provincial <b>Mendoza</b> Mejora Aprendiendo Matemática, y, en esta ocasión,&nbsp;...";https://www.mendoza.gov.ar/.../llega-la-primera-jornada-regional-de-mate...;https://www.<b>mendoza</b>.gov.ar/.../llega-la-primera-<b>jornada</b>-regional-de-mate...;{'metatags': [{'viewport': 'width=device-width, initial-scale=1.0'}]};;
customsearch#result;Memorándum 77-Dir.Planificación. Primeras jornadas de ...;Memorándum 77-Dir.Planificación. Primeras <b>jornadas</b> de ...;https://www.mendoza.edu.ar/memorandum-77-planeamiento-inscripciones-a-las-primeras-jornadas-de-matematica-de-nivel-secundario-2025/;www.mendoza.edu.ar;9 abr 2025 ... ... Mendoza Mejora Aprendiendo Matemática. Dirigido a: Secundaria, Educación ... Primeras jornadas de Matemática de nivel secundario (2025) ...;"9 abr 2025 <b>...</b> ... <b>Mendoza</b> Mejora Aprendiendo Matemática. Dirigido a: Secundaria, Educación ... Primeras <b>jornadas</b> de Matemática de nivel secundario (<b>2025</b>)&nbsp;...";https://www.mendoza.edu.ar/memorandum-77-planeamiento-inscripciones-...;https://www.<b>mendoza</b>.edu.ar/memorandum-77-planeamiento-inscripciones-...;{'metatags': [{'og:image': 'https://www.mendoza.edu.ar/wp-content/uploads/2024/10/normativa-e1755614909181.jpg', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Memorándum 77-Dir.Planificación. Primeras jornadas de Matemática de nivel secundario (2025)', 'og:url': 'https://www.mendoza.edu.ar/memorandum-77-planeamiento-inscripciones-a-las-primeras-jornadas-de-matematica-de-nivel-secundario-2025/', 'og:description': 'La Dirección de Planificación de la Calidad Educativa comunica las inscripciones a las primeras jornadas regionales de Matemática de Nivel Secundario en el marco del Plan Provincial Mendoza Mejora Aprendiendo Matemática. Dirigido a: Secundaria, Educación Técnica y Trabajo, Educación Especial, Educación Privada, Educación Superior, Educación Permanente de Jóvenes y Adultos.', 'dlm-version': '5.1.6'}]};;
customsearch#result;XVI Jornadas Interdisciplinarias de Estudios sobre las Mujeres y XIV ...;XVI <b>Jornadas</b> Interdisciplinarias de Estudios sobre las Mujeres y XIV ...;https://ffyl.uncuyo.edu.ar/cursos/item/xvi-jornadas-interdisciplinarias-de-estudios-sobre-las-mujeres-y-xiv-jornadas-internacionales-de-estudios-sobre-la-mujer-medieval-celebrando-sororidades-espacios-de-experiencias-y-horizontes-de-expectativas;ffyl.uncuyo.edu.ar;... Mendoza, Argentina) que nació en la Facultad de Filosofía y Letras y ... y publicaciones relacionadas con las temáticas de las Jornadas Mujeres 2025.;... <b>Mendoza</b>, Argentina) que nació en la Facultad de Filosofía y Letras y ... y publicaciones relacionadas con las temáticas de las <b>Jornadas</b> Mujeres <b>2025</b>.;https://ffyl.uncuyo.edu.ar/.../xvi-jornadas-interdisciplinarias-de-estudios-so...;https://ffyl.uncuyo.edu.ar/.../xvi-<b>jornada</b>s-interdisciplinarias-de-estudios-so...;"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToHFPWDwSLpI1jKDnShsEAtSMU6LK-PieWcnVbANdOWLaabtHQf9Iz598&s', 'width': '310', 'height': '163'}], 'metatags': [{'msapplication-tilecolor': '#263238', 'og:image': 'https://ffyl.uncuyo.edu.ar/cache/95dde8d4bf99aa4248bfb66b2d01ed22_315_600_c.jpg', 'og:type': 'website', 'twitter:card': 'summary_large_image', 'twitter:title': 'XVI Jornadas Interdisciplinarias de Estudios sobre las Mujeres y XIV Jornadas Internacionales de Estudios sobre la Mujer Medieval ""Celebrando sororidades: espacios de experiencias y horizontes de expectativas""', 'theme-color': '#263238', 'og:site_name': 'Facultad de Filosofía y Letras', 'author': 'Facultad de Filosofía y Letras', 'og:title': 'XVI Jornadas Interdisciplinarias de Estudios sobre las Mujeres y XIV Jornadas Internacionales de Estudios sobre la Mujer Medieval ""Celebrando sororidades: espacios de experiencias y horizontes de expectativas""', 'msapplication-tileimage': 'https://prueba.uncuyo.edu.ar/modular_4/mstile-144x144.png', 'og:description': 'Se realizarán desde el 13 al 16 de mayo en la FFyL de la UNCUYO, de 09:00 a 20:00. Tendrán modalidad híbrida, es decir que se desarrollarán actividades en el lugar y otras mediadas por plataforma, especialmente las Plenarias, sesiones de comunicaciones y/o simposios-paneles. Están destinadas a la comunidad académica y público en general.', 'twitter:creator': 'Facultad de Filosofía y Letras', 'twitter:image:src': 'https://ffyl.uncuyo.edu.ar/cache/95dde8d4bf99aa4248bfb66b2d01ed22_315_600_c.jpg', 'fb:app_id': '220667188060569', 'twitter:site': 'Facultad de Filosofía y Letras', 'viewport': 'width=device-width, initial-scale=1', 'twitter:description': 'Se realizarán desde el 13 al 16 de mayo en la FFyL de la UNCUYO, de 09:00 a 20:00. Tendrán modalidad híbrida, es decir que se desarrollarán ...', 'og:url': 'https://ffyl.uncuyo.edu.ar/cursos/item/xvi-jornadas-interdisciplinarias-de-estudios-sobre-las-mujeres-y-xiv-jornadas-internacionales-de-estudios-sobre-la-mujer-medieval-celebrando-sororidades-espacios-de-experiencias-y-horizontes-de-expectativas'}], 'cse_image': [{'src': 'https://ffyl.uncuyo.edu.ar/cache/95dde8d4bf99aa4248bfb66b2d01ed22_315_600_c.jpg'}]}";;
customsearch#result;San Rafael fue sede del segundo día del Maker Day : Prensa ...;San Rafael fue sede del segundo día del Maker Day : Prensa ...;https://www.mendoza.gov.ar/prensa/san-rafael-fue-sede-del-segundo-dia-del-maker-day/;www.mendoza.gov.ar;23 abr 2025 ... La edición 2025 se realizó en dos jornadas, una en la Ciudad de Mendoza y la otra en San Rafael, alcanzando a más de 2.900 estudiantes de ...;"23 abr 2025 <b>...</b> La edición <b>2025</b> se realizó en dos <b>jornadas</b>, una en la Ciudad de <b>Mendoza</b> y la otra en San Rafael, alcanzando a más de 2.900 estudiantes de&nbsp;...";https://www.mendoza.gov.ar/.../san-rafael-fue-sede-del-segundo-dia-del-ma...;https://www.<b>mendoza</b>.gov.ar/.../san-rafael-fue-sede-del-segundo-dia-del-ma...;{'metatags': [{'viewport': 'width=device-width, initial-scale=1.0'}]};;
