Id;Nombre;"Tipo de sede";Provincia;Localidad;Dirección;Web;"Cantidad salones";"Cantidad pabellones";"Metros cuadrados cubiertos";"Metros cuadrados descubiertos";"Capacidad maxima auditorio";"Capacidad maxima escuela";"Capacidad maxima recepcion";"Capacidad maxima banquete";"Sede registrada oficialmente";"Fecha de baja";Latlon;"Recurso sostenibilidad agua";"Recurso sostenibilidad energia";"Recurso sostenibilidad residuos";"¿Cuál otra?";"Certificacion ambiental";¿Cuál?;"¿Cuál otra?";"Responsabilidad social";"Condicion accesibilidad universal";"¿Cuál otra?";"Condicion accesibilidad sensorial";"¿Cuál otra?";"Personal conocimiento lengua senias"
4;"Universidad del Aconcagua";"Universidad/Centro de Estudio";Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
9;"Universidad Nacional de Cuyo (UNCUYO)";"Universidad/Centro de Estudio";Mendoza;MENDOZA;": Centro Universitario, Parque General San Martín s/n";http://www.uncuyo.edu.ar/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
16;"Universidad de Mendoza (UM)";"Universidad/Centro de Estudio";Mendoza;MENDOZA;"Av. Boulogne Sur Mer 683, 5500 Mendoza";http://www.um.edu.ar/es/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
10;"Centro de Congresos y Exposiciones Francisco";"Centro de Convenciones";Mendoza;"CIUDAD DE SAN MARTIN";"ciudad de San Martin";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
9388;"Hilton Mendoza";Hotel;Mendoza;"SAN JOSE";"Lateral Nte. Acceso Este 3292, M5521";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2325;"Hotel NH Cordillera";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2322;"Hotel Huentala";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2323;"Hotel Mod";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2331;"Hotel Sheraton Mendoza";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2320;"Hotel Diplomatic Mendoza";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2326;"Hotel Park Hyatt Mendoza";Hotel;Mendoza;MENDOZA;"Chile 1124";https://mendoza.park.hyatt.com/en/hotel/home.html;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
11;"Hotel Intercontinental Mendoza Guaymallen";Hotel;Mendoza;MENDOZA;"Pérez Cuesta, Mendoza";;;;;;;;;;;2019-11-15;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
18;"Nave Cultural";"Centro Cultural";Mendoza;MENDOZA;"España Gran, Vendimiadores, Mendoza";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
21;"Auditorio Ángel Bustelo";Auditorio/Sala;Mendoza;MENDOZA;"Av. Peltier 611, 5500 Capital, Mendoza";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
29;"Secretaría de Cultura de Mendoza";Auditorio/Sala;Mendoza;MENDOZA;"España y Gutiérrez";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
31;"Universidad de Congreso (UC)";"Universidad/Centro de Estudio";Mendoza;MENDOZA;http://www.icomos.org.ar/blog/2017/08/09/vi-congreso-internacional-de-historia-ferroviaria/;http://www.ucongreso.edu.ar/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
46;"Campus Dr. Manuel Belgrano";Otro;Mendoza;"GODOY CRUZ";"1 de Mayo 1951-1999 Godoy Cruz Mendoza";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
48;"Biblioteca Pública General San Martín";"Centro Cultural";Mendoza;MENDOZA;"Av. San Martín 1843, 5500 Mendoza";http://www.cultura.mendoza.gov.ar/bpgsm/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
50;"Universidad Juan Agustín Maza";"Universidad/Centro de Estudio";Mendoza;"LAS CAÑAS";"Lateral Sur del Acceso Este 2245, 5519, Mendoza";http://www.umaza.edu.ar/index.php;;;;;;;;;;2019-11-15;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
94;"InterContinental Mendoza";Hotel;Mendoza;MENDOZA;"Pérez Cuesta, Mendoza";http://www.intercontinentalmendoza.com;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
95;"Teatro Independencia";Teatro/Cine;Mendoza;MENDOZA;"Chile 1754, M5500GRM Mendoza";http://www.cultura.mendoza.gov.ar/teatroindependencia/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
99;"Obra Social de los Empleados Públicos (OSEP)";Auditorio/Sala;Mendoza;MENDOZA;"Av. José Vicente Zapata 313, 5500 Mendoza";;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
103;"Julio LeParc";"Centro Cultural";Mendoza;MENDOZA;"Mitre y Godoy Cruz,, Mitre S/N, 5519 Mendoza";http://www.julioleparc.org/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
129;"Universidad Nacional de Cuyo (UNCUYO) (baja)";"Universidad/Centro de Estudio";Mendoza;MENDOZA;;;;;;;;;;;;2019-11-19;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
971;"Hotel Termas de Cacheuta";Hotel;Mendoza;CACHEUTA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1062;"Bodega Faraón";"Bodega/Restaurante/Club Nocturno";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1063;"Cabañas Don Aniceto";"Establecimiento Rural";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1064;"Cámara de Comercio de General Alverar";Auditorio/Sala;Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1065;"Casa de la Cultura";"Centro Cultural";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1066;"Centro de Congresos y Exposiciones";"Centro de Convenciones";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1067;"Instituto San Antonio";"Universidad/Centro de Estudio";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1068;"Polideportivo Municipal Deportistas Alvearenses";"Club/Centro Deportivo";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1069;"Predio ferial de General Alvear";"Predio Ferial";Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1070;"Salón Patricias Mendocinas";Auditorio/Sala;Mendoza;"CIUDAD DE GENERAL ALVEAR";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1074;"Casa de la Cultura de San Martín";"Centro Cultural";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1075;"Casa España de San Martín";Auditorio/Sala;Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1076;"Centro de Congresos y Exposiciones San Martín";"Centro de Convenciones";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1077;"Estadio Gustavo Torito Rodríguez";Estadio;Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1078;"Instituto de Educación Superior (IES) 9-001";"Universidad/Centro de Estudio";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1079;"Parque Agnesi de San Martín";"Aire libre";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1080;"Polideportivo Municipal Torito Rodriguez";"Club/Centro Deportivo";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1081;"Universidad Nacional de Cuyo (UNCUYO)";"Universidad/Centro de Estudio";Mendoza;"CIUDAD DE SAN MARTIN";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1651;"Teatro Plaza";Teatro/Cine;Mendoza;"GODOY CRUZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1727;"Salón Cultural Cervantes";Auditorio/Sala;Mendoza;JUNIN;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1728;"Universidad Nacional del Noroeste de Buenos Aires (UNNOBA) - Sede Junín";"Universidad/Centro de Estudio";Mendoza;JUNIN;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1772;"Albergue Municipal Osvaldo Pinto";Auditorio/Sala;Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1773;"Club Juventud Unida";"Club/Centro Deportivo";Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1774;"Estadio Juan Domingo Perón";Estadio;Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1775;"Instituto de Educación Superior (IES) 9-005 Fidela Amparán";"Universidad/Centro de Estudio";Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1776;"Municipalidad de La Paz";Auditorio/Sala;Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1777;"Predio Ferial Agro-Ganadero en La Paz";"Predio Ferial";Mendoza;"LA PAZ";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1907;"Hostel Portozuelo del viento";Hotel;Mendoza;"LAS CUEVAS";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1948;"Club Cultural Chacras";"Centro Cultural";Mendoza;"LUJAN DE CUYO";;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1949;"Gran Hotel Potrerillos";Hotel;Mendoza;POTRERILLOS;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1950;"Casa de retiros de Lunlunta";Auditorio/Sala;Mendoza;LUNLUNTA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1956;"Arena Maipú";Casino;Mendoza;MAIPU;;;;;;;;;;;;2019-11-15;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1957;"Bodegas Baudron";"Bodega/Restaurante/Club Nocturno";Mendoza;MAIPU;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1958;"Universidad Juan Agustín Maza";"Universidad/Centro de Estudio";Mendoza;MAIPU;;;;;;;;;;;;2019-11-15;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1962;"Centro Cultural y Deportivo Malal Hue";"Centro Cultural";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1963;"Centro de Convenciones y Exposiciones Thesaurus";"Centro de Convenciones";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1964;"Centro de Desarrollo Infantil y Familiar (CDyF) N°2";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1965;"Club Deportivo Malargue";"Club/Centro Deportivo";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1966;"Escuelas Aborigen Americano";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1967;"Hotel Bonarda";Hotel;Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1968;"Municipalidad de Malargüe";Auditorio/Sala;Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1969;"Observatorio Pierre Auger";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1970;"Parque del Ayer";"Aire libre";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1971;"Polideportivo Municipal";"Club/Centro Deportivo";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1972;"Universidad de Mendoza (UM)";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1973;"Universidad del Aconcagua Malargue";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
1974;"Universidad Tecnológica Nacional (UTN) - Facultad Regional Mendoza";"Universidad/Centro de Estudio";Mendoza;MALARGUE;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2226;"Aeródromo Aerotec";"Aire libre";Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2228;"Algodon Mansion";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2229;"Andesmar Turismo";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2230;"Anfiteatro Este";Teatro/Cine;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2231;"Apart Hotel Montanas Azules";Hotel;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2232;"Arena Maipú Casino Resort";Casino;Mendoza;MAIPU;"Emilio Civit 792";https://www.arenamaipu.com.ar/;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2233;"Asociación Ganadera del Centro";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;2019-11-15;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2234;"Asosiación de Trabajadores de la Sanidad Argentina (ATSA)";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2235;"Auditorio  COPIG";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2236;"Auditorio Adolfo Calle";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2237;"Auditorio Luis Triviño";Auditorio/Sala;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2238;"Biblioteca Popular Mariano Moreno";Biblioteca;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2239;"Biblioteca y Mediateca Pública Municipal Manuel Belgrano";Biblioteca;Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2240;"Bodega del 91";"Bodega/Restaurante/Club Nocturno";Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
2241;"Bodega diamAndes";"Bodega/Restaurante/Club Nocturno";Mendoza;MENDOZA;;;;;;;;;;;;;;;;;;Desconocido;;;Desconocido;;;;;Desconocido
